source,target,hash,block,timestamp,value_wei,value_eth,gas,gas_price,type
0xa95350d70b18fa29f6b5eb8d627ceeeee499340d,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x3a77ed976dc135608e308d663427ae34e787636b373a2b53e076cd64fec7ffdc,3797319,1496219784,600000000000000000,0.6,21000,476190476190,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x01df8ecad36d5eae229e6f5ae784428a9191c6ee,0x52f5b76b45190cf41508a134ae61ca4a85a76da91dda9e0b805051ae025ac087,3797366,1496220634,596518950000000000,0.59651895,21000,20824748582,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x880444b6bb8e9e32f18d3eda44ce4805ef1d16a7170b7295aeddde98c201d179,3801691,1496289719,2458050000000000,0.00245805,21000,25807570957,transfer
0x22b84d5ffea8b801c0422afe752377a64aa738c2,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x5d71f8e1f956df36d726fcce6bd09a4fe94ddd751753937c073c5a6e78ced9cf,3871035,1497437070,618200000000000000,0.6182,100000,22340802345,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x721bb8bed717b7f72330ff53da749ff8cd809229,0x3ed5c6941c8ecb8ed1665ec090f0143e0f3abb0cc7a67663b5270963f690ba26,3910228,1498085551,616929450000000000,0.61692945,23101,50000000000,transfer
0x2c523c14037f3a047e247363830c471c2aae14ff,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xf6c5f806e665faafbe66ed3a2298f8f926f482ce3b4c1b30a7fc75aeefd5537d,3980682,1499305643,380850000000000000,0.38085,21000,21000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xb39a7d799459f4c60e21d3ef6efb357c4353fad5,0xf1e4fe4073f822b5e90b361d69ca3ecec045842abcbbfec1f561de5ac6591c46,3980762,1499306865,378464880000000000,0.37846488,21001,21000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x46ce2839eaf044d58320f4677c5098dc743b64f0aaaecae73855ccf630433407,3981448,1499318286,1480000000000000,0.00148,21000,20000000000,transfer
0xa193c943980a9340f306b3d59deb183dc501b35f,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xce32cb66b030aebcb01765d214330210abb1e58eb73d178ff85922fbc189d70f,4071149,1500977361,380000000000000000,0.38,90000,50000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x442ef266434a9575325f1af0249a4cfea04334ff,0xdd846640fb95cd51be1f9c6e1d1936c3414a0d3e467b14542ad285c7936ccae1,4071181,1500978134,371891780000000000,0.37189178,21001,22000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x89282c590be243596a9e09bc144f89a93c77c6a7b3201b0c7cb46810de9bc2c9,4074676,1501042740,7151670000000000,0.00715167,21000,21349091302,transfer
0x7a28e492e15d29eb2d27f2762a1d76192d57ea4e,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x212e794d71f825b6e4559c2a41dac788c1481a2c28ee78155e444783aab36661,5243780,1520883655,19530370000000000,0.01953037,21000,41000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xcea102e0e077261de98765aaecd25e4294515b95,0xbdd64085784f143ec05f2e4d319e539f480f5c38b97fb22be51aa777e1502cc8,5243820,1520884273,19314870000000000,0.01931487,21000,5000000000,transfer
0x48bab6f06f1770d74cf223b6cba4d495283360e1,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x00385b65866e1c525faf19f8887ea08b526959bd87e55fb9a73727ea2cbc93d7,6070560,1533150182,20080000000000000,0.02008,21000,23000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0xfbc7fb709a4244624749dcd9a7c2d63713b76334,0x90a36aa6c6f1cb26479b9bbef28178b6164413382f3af168e3a91761be48fedc,6070626,1533151199,19956900000000000,0.0199569,21000,1000000000,transfer
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x546067903640e98c2acd49c0c5fd8d2e6d07a52d49f5e2b760d88e2b84ae8515,6317771,1536750889,290310000000000000,0.29031,21000,45000000000,exchange_transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x64f70539776f08c5ef505254c2426f3e47a5204a,0x51a81251de4ea6efcd752b521e10a1eea2e48dac7df49ea5a331d72a894b8448,6317821,1536751522,288767600000000000,0.2887676,21000,4000000000,transfer
0xec2d9c125d34eb8e02f7c320b70bb14850e8732f,0x0064454b14cddc990ed6520ef94d3e28fe7c41b6,0x25f82819d19d06205e59d65db9ee06154f6e593ade7fa401e3ef55bc1e16f765,6321948,1536811396,1432190000000000,0.00143219,21000,5610000000,transfer
